id;question;option_a;option_b;option_c;option_d;answer_letter
217;¿Cuándo se establece la relación de homofonía?;Cuando son sinónimos;Cuando se escriben igual;Entre palabras que suenan igual al pronunciarse, pero se escriben diferente y tienen significados distintos;Cuando son antónimos;C
218;¿Qué ejemplo corresponde a la relación de homofonía?;Caliente : Frío;Actitud : Aptitud;Coser : Cocer;Dulce : Amargo;C
219;¿Cuándo se presenta la relación de homografía?;Cuando suenan igual pero se escriben diferente;Entre palabras que se escriben de la misma forma, aunque sus significados son diferentes;Cuando son sinónimos;Cuando son antónimos;B
220;¿En qué casos pueden diferir las palabras homógrafas?;Solo en significado;En la pronunciación como acentuación o entonación;Solo en tamaño;En nada;B
221;¿Qué ejemplo corresponde a la relación de homografía?;Coser : Cocer;Actitud : Aptitud;Río : Río;Caliente : Frío;C
222;¿Cuándo se establece la relación de sujeto a función?;Cuando son sinónimos;Cuando un término corresponde a un ser animado y el otro expresa su función, acción u oficio característico;Cuando son antónimos;Cuando suenan igual;B
223;¿Qué ejemplo corresponde a la relación de sujeto a función?;Caliente : Frío;Coser : Cocer;Profesor : Educar;Río : Río;C
224;¿Cuándo se presenta la relación de causa a efecto?;Cuando son sinónimos;Cuando uno de los términos designa la causa o motivo que genera una consecuencia;Cuando suenan igual;Cuando se escriben igual;B
225;¿Puede invertirse la relación de causa a efecto?;No, nunca;Sí, puede partir del efecto para deducir la causa;Solo a veces;No está permitido;B
226;¿Qué ejemplo corresponde a la relación de causa a efecto?;Profesor : Educar;Río : Río;Herida : Dolor;Rueda : Auto;C
227;¿Cuándo se da la relación de parte a todo?;Cuando son sinónimos;Cuando un término hace referencia a una parte o componente de un objeto, y el otro corresponde al todo;Cuando son antónimos;Cuando suenan igual;B
228;¿Puede plantearse la relación de parte a todo al revés?;No;Sí, del todo hacia una de sus partes;Solo en casos especiales;Nunca está permitido;B
229;¿Qué ejemplo corresponde a la relación de parte a todo?;Profesor : Educar;Herida : Dolor;Rueda : Auto;Coser : Cocer;C
230;¿Cuándo ocurre la relación de obra a autor?;Cuando son sinónimos;Cuando un término hace referencia a una obra determinada y el otro se refiere a la persona que la creó;Cuando son antónimos;Cuando suenan igual;B
231;¿Qué tipos de obras pueden estar en la relación obra a autor?;Solo literarias;Literarias, artísticas o científicas;Solo artísticas;Solo científicas;B
232;¿Puede invertirse la relación de obra a autor?;No;Sí, del autor hacia su obra;Solo a veces;Está prohibido;B
233;¿Qué obra corresponde a Gaby Vallejos según el documento?;La Noche;Hijo de Opa;Nacer Hombre;La Balada de Claribel;B
234;¿Qué obra corresponde a Adela Zamudio según el documento?;Hijo de Opa;La Noche;Nacer Hombre;La Balada de Claribel;C
235;¿Qué obra corresponde a Jaime Saenz según el documento?;Hijo de Opa;La Noche;Nacer Hombre;La Balada de Claribel;B
236;¿Qué obra corresponde a Franz Tamayo según el documento?;Hijo de Opa;La Noche;Nacer Hombre;La Balada de Claribel;D
237;¿Qué característica importante tienen todas las relaciones mencionadas?;Son irreversibles;Son reversibles;Son únicas;Son complejas;B
238;¿Qué significa que las relaciones son reversibles?;No se pueden invertir;Que se puede establecer la relación en ambos sentidos;Que son complicadas;Que no funcionan;B
239;¿Cuál es el propósito principal del razonamiento verbal según el documento?;Memorizar palabras;Demostrar capacidad idiomática reflexiva mediante relaciones y sentido del lenguaje;Escribir rápido;Leer mucho;B
240;¿Qué son las formas elocutivas en la literatura?;Tipos de poemas;Los distintos estilos o maneras de expresión que utilizan los escritores;Reglas gramaticales;Tipos de novelas;B
241;¿Qué es la narración según el documento?;Un tipo de poema;Una forma de expresión literaria que consiste en relatar una serie de eventos o sucesos;Una descripción detallada;Un diálogo entre personajes;B
242;¿En qué orden se relatan generalmente los eventos en la narración?;Orden alfabético;Orden cronológico;Orden de importancia;Orden aleatorio;B
243;¿Qué tipos de historias puede contar la narración?;Solo reales;Solo imaginarias;Reales, imaginarias o increíbles;Solo increíbles;C
244;¿Qué requiere la narración del escritor según el documento?;Solo imaginación;Mucha destreza, porque engloba descripción y diálogo;Solo velocidad;Solo conocimiento;B
245;¿Cuáles son las dos formas elocutivas que engloba la narración?;Exposición y diálogo;La descripción y el diálogo;Poesía y prosa;Retrato y topografía;B
246;¿De qué formas literarias es la narración la principal forma de expresión?;Solo poesía;Novela, cuento, historia, anécdota, biografía;Solo ensayo;Solo teatro;B
247;¿En qué formas puede hacerse la narración?;Solo en prosa;Solo en verso;Tanto en prosa como en verso;Solo en diálogo;C
248;¿Qué presenta el narrador en una narración?;Solo tiempo;Personajes, acciones, tiempo y espacio;Solo personajes;Solo acciones;B
249;¿Cuál es la estructura general que sigue la narración?;Solo inicio;Inicio, desarrollo y desenlace;Solo desarrollo;Solo desenlace;B
250;¿Cuál es la máxima cualidad de la narración según el documento?;Claridad;Verosimilitud;Interés;Brevedad;C
251;¿De dónde nace el interés en la narración?;De la extensión del texto;De la habilidad con que el escritor despierta la curiosidad del lector;Del tipo de letra;Del número de personajes;B
252;¿Qué debe elegir el narrador para que una narración sea interesante?;Un final sorprendente;Un arranque o inicio prometedor y mantener cierto clima de incertidumbre;Muchos personajes;Un lugar exótico;B
253;¿Qué caracteriza a la cualidad de claridad en la narración?;Uso de palabras complejas;Que todos los incidentes narrados sean claros y ordenados para ser comprendidos fácilmente;Brevedad extrema;Muchos diálogos;B
254;¿Qué significa verosimilitud en la narración?;Que sea verdadera;Que los hechos parezcan verdaderos y creíbles;Que sea breve;Que tenga muchos personajes;B
255;¿Qué debe existir para que los hechos parezcan verosímiles?;Solo imaginación;Armonía entre los personajes, los hechos, los lugares y las demás circunstancias;Solo diálogos;Solo descripciones;B
256;¿Qué debe estudiar bien el autor para que una narración sea verosímil?;Solo el lugar;La psicología de los personajes que intervienen;Solo el tiempo;Solo la acción;B
257;¿Qué aspectos del personaje debe tener en cuenta el autor?;Solo la edad;El grado de cultura, educación, posición social, virtudes, pasiones y constitución física;Solo el nombre;Solo la profesión;B
258;¿Cómo deben explicarse los hechos en una narración verosímil?;De manera mágica;De manera lógica, sin recurrir a sueños, revelaciones sobrenaturales o seres extraterrestres;Con muchos misterios;Con finales abiertos;B
259;¿Quiénes son los personajes en la narración?;Los lectores;Individuos que participan en la historia;Los autores;Los editores;B
260;¿Qué es el narrador?;El protagonista;La persona que narra o cuenta la historia;El lector;El editor;B
261;¿Qué tipos de narrador existen según el documento?;Solo omnisciente;Omnisciente o limitado;Solo limitado;Solo testigo;B
262;¿Qué conoce el narrador omnisciente?;Solo acciones externas;Todos los pensamientos y acciones de los personajes;Solo un personaje;Nada;B
263;¿Qué conoce el narrador limitado?;Todo;Solo los pensamientos y acciones de un personaje o grupo de personajes;Nada;Solo el final;B
264;¿Cuáles son las tres partes de la narrativa?;Inicio, medio, fin;Introducción, nudo, desenlace;Presentación, conflicto, solución;Apertura, desarrollo, cierre;B
265;¿Qué se presenta en la introducción de la narrativa?;El final;El contexto y los personajes;Solo el conflicto;Solo la acción;B
266;¿Qué ocurre en el nudo de la narrativa?;Se presenta el contexto;Desarrollo de la trama y los conflictos;Se resuelve todo;Se introduce a los personajes;B
267;¿Qué sucede en el desenlace de la narrativa?;Se presentan personajes nuevos;Resolución de los conflictos y cierre de la historia;Se inicia la trama;Se desarrolla el conflicto;B
268;¿Qué es la descripción literaria según el documento?;Un tipo de narración;Un proceso similar al dibujo, pero utilizando palabras para retratar personas, animales, lugares u objetos;Un tipo de diálogo;Una forma de exposición;B
269;¿Cuál es el objetivo de la descripción?;Contar una historia;Exponer características, cualidades y usos de manera detallada para que el lector visualice imágenes vívidas;Dialogar;Argumentar;B
270;¿Qué tipo de detalles ofrece la descripción?;Solo físicos;No solo físicos, sino también de sentimientos y sensaciones;Solo emocionales;Solo visuales;B
271;¿Qué tipo de forma elocutiva es la descripción?;Directa;Indirecta;Mixta;Ninguna;B
272;¿Qué predomina en la descripción según sus características?;La subjetividad;La objetividad;La fantasía;El diálogo;B
273;¿Qué es la topografía en la descripción?;Descripción de personas;Descripción de un lugar como ciudad, paisaje, cerro, río, casa, templo;Descripción de tiempo;Descripción de sentimientos;B
274;¿De qué palabras deriva topografía?;Tiempo y escritura;Topo que significa lugar, y grafía que significa descripción;Tipo y grafía;Texto y grafía;B
275;¿Qué es la cronografía?;Descripción de lugares;Descripción de personas;Descripción detallada de una época o período de tiempo o evento histórico;Descripción de objetos;C
276;¿Qué es la prosopografía?;Descripción del carácter;Descripción del aspecto físico de una persona o animal, exclusivamente lo exterior;Descripción de lugares;Descripción de tiempo;B
277;¿Qué es la etopeya?;Descripción física;Descripción de lugares;Descripción del carácter, manera de ser, cualidades, defectos, sentimientos de una persona;Descripción de tiempo;C
278;¿Qué es el retrato en la descripción?;Solo prosopografía;Solo etopeya;Combinación de prosopografía y etopeya, describiendo características físicas y morales;Solo descripción de lugares;C
279;¿Qué es el paralelo en la descripción?;Descripción simple;Descripción que compara dos elementos, resaltando similitudes y diferencias;Descripción de tiempo;Descripción física;B
280;¿Qué es el diálogo según el documento?;Una narración;Una forma de expresión literaria que involucra la interacción verbal entre dos o más personajes;Una descripción;Una exposición;B
281;¿Qué tipo de forma elocutiva es el diálogo?;Directa;Indirecta;Mixta;Objetiva;B
282;¿Qué interviene en el diálogo según sus características?;Solo lo objetivo;Solo lo subjetivo;Tanto lo objetivo como lo subjetivo;Ninguno;C
283;¿En qué tipo de obras es muy importante el diálogo?;Narrativas;Descriptivas;De carácter dramático;Expositivas;C
284;¿Qué es el diálogo directo o teatral?;Diálogo narrado;Interacción verbal entre personajes que hablan directamente entre sí, intercambiando ideas de manera alternativa;Diálogo con narrador;Diálogo descriptivo;B
285;¿Qué es el diálogo novelado?;Diálogo teatral;Interacción verbal de personajes que forma parte de la narración, con explicaciones o descripciones adicionales;Diálogo directo;Solo diálogo;B
286;¿Qué es la exposición según el documento?;Una narración;Una descripción;Forma de expresión literaria en la que el autor manifiesta directamente sus propios sentimientos, ideas y punto de vista;Un diálogo;C
287;¿Qué tipo de forma elocutiva es la exposición?;Indirecta;Directa;Mixta;Ninguna;B
288;¿Qué tipo de exposición presenta información accesible para todo público sin conocimientos especializados?;Exposición especializada;Exposición técnica;Exposición divulgativa;Exposición académica;C
289;¿A quién está dirigida la exposición especializada?;Al público general;A niños;A un público con conocimientos técnicos o especializados en un campo específico;A principiantes;C
290;¿Qué es el lenguaje figurado según el documento?;El uso de palabras en su sentido exacto;El uso de palabras para expresar ideas de manera indirecta mediante comparaciones o asociaciones;El uso de palabras técnicas;El uso de palabras formales;B
291;¿Dónde se utiliza comúnmente el lenguaje figurado?;En textos científicos;En la poesía y literatura;En manuales técnicos;En diccionarios;B
292;¿Para qué se utiliza el lenguaje figurado en la literatura?;Para confundir al lector;Para darle mayor expresividad al lenguaje;Para alargar el texto;Para simplificar ideas;B
293;¿Qué es el lenguaje figurado como conjunto?;Solo metáforas;Palabras, giros y maneras especiales de expresarse para generar colorido, gracia, esplendor y animación;Solo comparaciones;Solo hipérboles;B
294;¿Cuál es la finalidad del lenguaje figurado?;Producir confusión;Producir belleza;Producir textos largos;Producir rapidez;B
295;¿Cómo se diferencia el lenguaje figurado del lenguaje literal?;No hay diferencia;El literal usa las palabras en su sentido exacto mientras el figurado usa sentido indirecto;Son iguales;El literal es más complejo;B
296;¿En cuántos grupos se clasifican las figuras literarias según el documento?;Dos;Cuatro;Tres;Cinco;C
297;¿Cuáles son los tres grupos de clasificación de las figuras literarias?;Metáfora, símil e hipérbole;Figuras de significación o tropos, de dicción o de palabra, y de pensamiento;Narración, descripción y diálogo;Literales, figuradas y mixtas;B
298;¿Qué hacen las figuras de significación o tropos?;Repiten palabras;Alteran el sentido literal de las palabras para crear analogías o metáforas;Solo describen;Solo narran;B
299;¿Qué es la metáfora según el documento?;Una repetición de palabras;Un tropo que crea una relación basada en semejanza entre dos conceptos con analogía y similitud;Una exageración;Una comparación directa;B
300;"En el ejemplo ""Tus ojos son dos silencios donde el mar se detiene a descansar"", ¿qué figura se utiliza?";Hipérbole;Anáfora;Metáfora;Comparación;C
301;¿Cómo se llaman también las figuras de dicción?;Tropos del lenguaje;Elegancias del lenguaje;Figuras de pensamiento;Metáforas literarias;B
302;¿Cómo embellecen la expresión las figuras de dicción?;Solo con metáforas;Mediante la repetición o el orden especial de palabras;Solo con exageraciones;Solo con comparaciones;B
303;¿Qué es la anáfora?;Repetir palabras al final;Repetir las mismas palabras al comienzo de cada verso u oración con fines expresivos o estéticos;Exagerar una idea;Comparar dos elementos;B
304;"En el fragmento de Quevedo ""Érase un hombre a una nariz pegado. Érase una nariz superlativa"", ¿qué figura se utiliza?";Metáfora;Hipérbole;Anáfora;Conversión;C
305;¿Qué palabra se repite al comienzo de los versos en el ejemplo de Quevedo?;Nariz;Hombre;Érase;Pegado;C
306;"En el fragmento ""La Ciega"" de María Josefa Mujía, ¿qué palabra se repite al inicio?";Ya;Hay;No;Flores;C
307;¿Qué es la conversión en las figuras de dicción?;Repetir palabras al comienzo;Repetir una o más palabras al final de cada verso u oración;Exagerar ideas;Comparar elementos;B
308;"En el ejemplo ""Prometió volver en primavera, soñó con su hogar en primavera"", ¿qué figura se utiliza?";Anáfora;Conversión;Metáfora;Hipérbole;B
309;¿Qué palabra se repite al final en el ejemplo de la conversión sobre primavera?;Volver;Soñó;Primavera;Hogar;C
310;¿Qué son las figuras de pensamiento?;Solo repeticiones;Modos especiales o distintas formas de presentar pensamientos para darles relieve y elegancia;Solo comparaciones;Solo exageraciones;B
311;¿Qué otro nombre tiene la personificación?;Símil;Anáfora;Prosopopeya;Hipérbole;C
312;¿Qué atribuye la personificación o prosopopeya?;Características a personas;A seres inanimados, abstractos o imaginarios, movimientos, vida o propiedades humanas;Solo movimiento;Solo colores;B
313;"En el fragmento ""Bolivia triste y huérfana en el mundo, llora a su padre"", ¿qué figura se utiliza?";Metáfora;Hipérbole;Personificación o prosopopeya;Comparación;C
314;"¿A qué se atribuye la capacidad de llorar en el ejemplo de ""A Bolívar""?";A una persona;A un niño;A Bolivia, un país;A un animal;C
315;¿Qué es la comparación o símil?;Una repetición;La semejanza existente o imaginada entre dos ideas o seres para realzar una de ellas;Una exageración;Una personificación;B
316;¿Qué palabra utiliza característicamente la comparación o símil?;Y;Pero;Como;Aunque;C
317;"En el ejemplo ""Eres como una flor"", ¿qué figura literaria se utiliza?";Metáfora;Anáfora;Comparación o símil;Hipérbole;C
318;¿Cuál es la diferencia principal entre metáfora y símil?;No hay diferencia;"El símil usa ""como"" para establecer la semejanza explícitamente";La metáfora es más larga;El símil es más corto;B
319;"En ""Con el tiempo crecerá su fama, como crece la sombra cuando el sol declina"", ¿qué figura se usa?";Personificación;Hipérbole;Comparación o símil;Anáfora;C
320;¿Qué es la hipérbole según el documento?;Una repetición;Una comparación;Exagerar una cualidad, verdad, suceso o defecto para enfatizarla;Una personificación;C
321;¿Para qué se usa la hipérbole?;Para repetir ideas;Para comparar;Para enfatizar mediante exageración;Para describir literalmente;C
322;"En el fragmento ""Balada de Claribel"" que dice ""Eres por siempre en mi vida"", ¿qué sugiere la expresión ""por siempre""?";Brevedad temporal;Exageración o hipérbole del sentimiento eterno;Comparación;Personificación;B
323;"¿Quién es el autor del fragmento ""A una Nariz""?";Franz Tamayo;María Josefa Mujía;Quevedo;Bolívar;C
324;"¿Quién es la autora del fragmento ""La Ciega""?";Quevedo;Franz Tamayo;María Josefa Mujía;Claribel;C
325;"¿Quién es el autor del fragmento ""Habla Olimpo""?";Quevedo;María Josefa Mujía;Franz Tamayo;Bolívar;C
326;"¿Quién escribió ""Balada de Claribel""?";Quevedo;María Josefa Mujía;Franz Tamayo;Shakespeare;C
327;"¿Quién escribió el poema ""A Bolívar"" mencionado en el documento?";Franz Tamayo;Quevedo;María Josefa Mujía;Bolívar mismo;C
328;"En ""Tus lágrimas son perlas que caen lentamente"", ¿qué figura literaria se identifica?";Comparación;Anáfora;Metáfora;Conversión;C
329;"En ""El silencio gritaba en aquel salón vacío"", ¿qué figura literaria se utiliza?";Metáfora;Personificación;Hipérbole;Comparación;B
330;"En ""Eres tan alto como una montaña"", ¿qué figura se presenta?";Metáfora;Personificación;Comparación o símil;Anáfora;C
331;"En ""Te esperé siglos enteros frente a la estación"", ¿qué figura se utiliza?";Comparación;Personificación;Hipérbole;Metáfora;C
332;"En ""Cae la lluvia, cae la pena, cae el olvido"", ¿qué figura se identifica?";Conversión;Anáfora;Hipérbole;Metáfora;B
333;¿Qué figura consiste en exagerar una idea o sentimiento?;Comparación;Metáfora;Hipérbole;Anáfora;C
334;¿Qué figura repite palabras al final de los versos?;Anáfora;Conversión;Metáfora;Personificación;B
335;¿Qué figura da características humanas a objetos o fenómenos?;Comparación;Hipérbole;Personificación;Metáfora;C
336;"¿Qué figura expresa una semejanza usando ""como""?";Metáfora;Anáfora;Comparación o símil;Hipérbole;C
337;¿Qué figura sustituye el significado literal por otro con sentido figurado?;Anáfora;Conversión;Metáfora;Comparación;C
338;¿Cuál es el propósito principal de usar figuras literarias en un texto?;Complicar la lectura;Embellecer la expresión y darle mayor expresividad;Alargar el contenido;Confundir al lector;B
339;¿Por qué se estudian solo las figuras más usuales según el documento?;Por falta de tiempo;Por la amplitud en estas figuras;Porque son las únicas;Porque son más fáciles;B
340;"¿En qué año se publicó la novela ""Juan de la Rosa""?";1883;1884;1885;1886;B
341;"¿Quién es el autor de ""Juan de la Rosa""?";Alcides Arguedas;Augusto Céspedes;Nataniel Aguirre;Franz Tamayo;C
342;"¿Qué género literario corresponde a ""Juan de la Rosa""?";Lírico;Dramático;Narrativo;Ensayo;C
343;"¿Qué subgénero es ""Juan de la Rosa""?";Cuento;Poema;Novela;Ensayo;C
344;"¿En qué ciudad se desarrollan los sucesos históricos narrados en ""Juan de la Rosa""?";La Paz;Sucre;Cochabamba;Potosí;C
345;"¿Cómo se llamaba la madre de Juanito en ""Juan de la Rosa""?";Carmen;Teresa;Rosita la encajera;María;C
346;¿Qué enfermedad terminó afectando a la madre de Juanito?;Neumonía;Tuberculosis;Cáncer;Fiebre amarilla;B
347;¿Quién fue el mentor y protector incansable de Juanito?;Tío Alejo;Fray Justo;Pancho;Don Nataniel;B
348;"¿Cuál es el tema principal de ""Juan de la Rosa""?";El amor romántico;La lucha por la Independencia y la búsqueda de la identidad personal;La vida rural;Los conflictos familiares;B
349;¿Dónde nació Nataniel Aguirre?;La Paz;Sucre;Cochabamba;Potosí;C
350;¿En qué año nació Nataniel Aguirre?;1840;1843;1845;1850;B
351;¿Dónde murió Nataniel Aguirre?;La Paz;Buenos Aires;Montevideo;Lima;C
352;¿Con quién se casó Nataniel Aguirre?;Teresa de Achá;Margarita de Achá;Rosita Aguirre;Carmen Sanjinés;B
353;"¿En qué año se publicó ""Balada de Claribel""?";1910;1911;1912;1913;C
354;"¿Quién es el autor de ""Balada de Claribel""?";Nataniel Aguirre;Alcides Arguedas;Franz Tamayo;Carlos Medinacelli;C
355;"¿Qué género literario es ""Balada de Claribel""?";Narrativo;Dramático;Lírico;Expositivo;C
356;"¿Cuál es el tema principal de ""Balada de Claribel""?";La guerra;Claribel, el amor irremediablemente perdido;La independencia;La naturaleza;B
357;"¿Qué tipo de rima tienen los versos de ""Balada de Claribel""?";Asonante;Libre;Consonante;Sin rima;C
358;"¿Cuántas estrofas tiene el poema ""Balada de Claribel"" sin contar la última?";Diez;Once;Doce;Trece;B
359;¿Dónde nació Franz Tamayo?;Cochabamba;Sucre;La Paz;Potosí;C
360;¿En qué año nació Franz Tamayo?;1875;1877;1879;1881;C
361;¿A qué edad se graduó Franz Tamayo como abogado?;17 años;19 años;21 años;23 años;B
362;¿En qué universidad estudió Franz Tamayo en París?;La Universidad de París;La Sorbona;La Universidad Autónoma;La Universidad Nacional;B
363;"¿En qué año se publicó ""Raza de Bronce""?";1917;1918;1919;1920;C
364;"¿Quién es el autor de ""Raza de Bronce""?";Nataniel Aguirre;Alcides Arguedas;Augusto Céspedes;Franz Tamayo;B
365;"¿Cómo se llamaban los dos indígenas protagonistas de ""Raza de Bronce""?";Juanito y Rosita;Agiali y Wata Wara;Troche y Pantoja;Manuno y Carmen;B
366;"¿Quién ultrajó a Wata Wara en ""Raza de Bronce""?";Agiali;Pantoja;Troche, el mayordomo;Manuno;C
367;"¿Quién era Manuno en ""Raza de Bronce""?";El patrón;Símbolo del indígena que ama a sus animales y muere intentando salvar a su jumento;El mayordomo;El esposo de Wata Wara;B
368;"¿Cuál es el tema principal de ""Raza de Bronce""?";El amor romántico;La rebelión indígena en contra de la opresión criollo mestiza;La guerra del Chaco;La independencia;B
369;¿Dónde nació Alcides Arguedas?;Cochabamba;Sucre;La Paz;Potosí;C
370;¿En qué año nació Alcides Arguedas?;1875;1877;1879;1881;C
371;¿Cuál fue una de las primeras obras de Alcides Arguedas publicada en 1904?;Raza de Bronce;Wata Wara;Pueblo Enfermo;Juan de la Rosa;B
372;"¿En qué año se publicó ""Sangre de Mestizos""?";1934;1935;1936;1937;C
373;"¿Quién es el autor de ""Sangre de Mestizos""?";Alcides Arguedas;Nataniel Aguirre;Augusto Céspedes;Franz Tamayo;C
374;"¿Qué subgénero literario es ""Sangre de Mestizos""?";Novela;Poema;Cuento;Ensayo;C
375;"¿Cuál es uno de los cuentos más destacados de ""Sangre de Mestizos""?";La Noche;El Pozo;La Chaskañawi;El Círculo;B
376;"¿Sobre qué evento histórico trata ""Sangre de Mestizos""?";La Independencia;La Guerra del Chaco;La Guerrilla del Che;La Revolución de 1952;B
377;¿Dónde nació Augusto Céspedes?;La Paz;Sucre;Cochabamba;Potosí;C
378;¿En qué año nació Augusto Céspedes?;1900;1901;1903;1905;C
379;"¿En qué año se publicaron los ""Cuentos Breves"" de Adela Zamudio?";1941;1942;1943;1944;C
380;"¿Cuántos cuentos conforman la colección ""Cuentos Breves"" de Adela Zamudio?";12;13;14;15;C
381;¿Dónde nació Adela Zamudio?;La Paz;Sucre;Cochabamba;Potosí;C
382;¿Hasta qué grado estudió formalmente Adela Zamudio?;Primero de primaria;Segundo de primaria;Tercero de primaria;Cuarto de primaria;C
383;¿Bajo qué seudónimo escribía Adela Zamudio?;Claribel;Soledad;Teresa;Rosita;B
384;¿Qué día se celebra como el Día de la Mujer Boliviana en honor a Adela Zamudio?;2 de junio;28 de febrero;11 de octubre;15 de junio;C
385;"¿En qué año se publicó ""La Chaskañawi""?";1945;1946;1947;1948;C
386;"¿Quién es el autor de ""La Chaskañawi""?";Alcides Arguedas;Franz Tamayo;Carlos Medinacelli;Augusto Céspedes;C
387;"¿Cómo apodaban a Adolfo en ""La Chaskañawi""?";El Joven;El Estudiante;El Viejo;El Serio;C
388;¿Cuál era el verdadero nombre de La Chaskañawi?;Carmen;Teresa;Claudina;Julia;C
389;¿Qué estudiaba Adolfo en la ciudad de Sucre?;Medicina;Ingeniería;Derecho;Filosofía;C
390;¿Dónde nació Carlos Medinacelli?;La Paz;Cochabamba;Sucre;Potosí;C
391;¿En qué año nació Carlos Medinacelli?;1895;1896;1898;1900;C
392;"¿En qué año se publicó ""Cerco de Penumbras""?";1956;1957;1958;1959;C
393;"¿Quién es el autor de ""Cerco de Penumbras""?";Carlos Medinacelli;Jaime Sáenz;Óscar Cerruto;Renato Prada;C
394;"¿Cuántos cuentos conforman ""Cerco de Penumbras""?";13;14;15;16;C
395;¿Dónde nació Óscar Cerruto?;Cochabamba;Sucre;La Paz;Potosí;C
396;"¿En qué año se publicó ""Fundadores del Alba""?";1967;1968;1969;1970;C
397;"¿Quién es el autor de ""Fundadores del Alba""?";Óscar Cerruto;Jaime Sáenz;Renato Prada Oropeza;Edmundo Paz Soldán;C
398;"¿Cómo se llamaba el protagonista de ""Fundadores del Alba""?";Adolfo;Martín;Javier;Juan José;C
399;"¿Cuál es el tema principal de ""Fundadores del Alba""?";La Guerra del Chaco;La Independencia;La Guerrilla de Ñancahuazú;La Revolución de 1952;C
400;¿Dónde nació Renato Prada Oropeza?;La Paz;Cochabamba;Potosí;Sucre;C
401;"¿En qué año se publicó ""Hijo de Opa""?";1974;1975;1976;1977;C
402;"¿Quién es la autora de ""Hijo de Opa""?";Adela Zamudio;María Josefa Mujía;Gaby Vallejo Canedo;Teresa Gisbert;C
403;"¿Cuántos momentos organizan la novela ""Hijo de Opa""?";Dos;Tres;Cuatro;Cinco;B
404;"¿Cómo se llamaba el hijo ilegítimo en ""Hijo de Opa""?";Juan José;Javier;Martín;Adolfo;C
405;"¿En qué año se publicó ""La Noche"" de Jaime Sáenz?";1982;1983;1984;1985;C
406;"¿Qué género literario es ""La Noche"" de Jaime Sáenz?";Narrativo;Dramático;Lírico;Expositivo;C
407;"¿En qué forma está escrita ""La Noche"" de Jaime Sáenz?";En verso;En prosa;En diálogo;En estrofas métricas;B
408;"¿En qué año se publicó ""Amores Imperfectos""?";1996;1997;1998;1999;C
409;"¿Quién es el autor de ""Amores Imperfectos""?";Jaime Sáenz;Óscar Cerruto;Renato Prada;Edmundo Paz Soldán;D
